"PR","URL","Title","Content type","Is rendered page","HTTP status code","Organic traffic","Depth","No. of inlinks dofollow","No. of inlinks nofollow","No. of href inlinks"
"20","https://openlymarket.xyz/category/fashion/fashion-pro-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/fashion/legendary-fashion-pack","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/fashion/master-fashion-items","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/fashion/pro-fashion-boost","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/fashion/rare-fashion-account","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/fashion/starter-fashion-service","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/common-home-garden-key","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/elite-home-garden-coins","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/epic-home-garden-bundle","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/home-garden-elite-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/home-garden-gold-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/home-garden-prime-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/home-garden-pro-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/legendary-home-garden-pack","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/master-home-garden-items","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/pro-home-garden-boost","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/rare-home-garden-account","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/home-garden/starter-home-garden-service","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/common-services-key","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/elite-services-coins","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/epic-services-bundle","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/legendary-services-pack","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/master-services-items","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/pro-services-boost","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/rare-services-account","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/services-elite-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/services-gold-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/services-prime-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/services-pro-edition","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
"20","https://openlymarket.xyz/category/services/starter-services-service","OpenlyMarket | Secure Crypto Marketplace for Buyers and Sellers","text/html; charset=utf-8","false","200","0","1","1","0","1"
