url,cluster,incoming_links,outgoing_links,orphan,priority,source_files
/category/services/legendary-services-pack,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/master-services-items,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/pro-services-boost,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/rare-services-account,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/services-elite-edition,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/services-gold-edition,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/services-prime-edition,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/services-pro-edition,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/category/services/starter-services-service,Categorie,1,1,no,Media,src/components/SeoInternalLinks.tsx
/contact,Company,10,1,no,Media,src/app/broker/page.tsx | src/app/faq/page.tsx | src/app/fee-calculator/FeeCalculatorClient.tsx | src/components/Footer.tsx | src/components/SeoInternalLinks.tsx | src/components/navbar/MoreMenu.tsx
/disclaimer,Company,1,1,no,Media,src/components/SeoInternalLinks.tsx
/escrow,ProdottiServizi,1,1,no,Media,src/components/SeoInternalLinks.tsx
/faq,Company,5,1,no,Media,src/app/contact/page.tsx | src/components/Footer.tsx | src/components/SeoInternalLinks.tsx | src/components/navbar/MoreMenu.tsx
/fee-calculator,ProdottiServizi,2,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/link,Company,1,1,no,Media,src/components/SeoInternalLinks.tsx
/market,Marketplace,20,1,no,Media,src/app/auth/page.tsx | src/app/broker/page.tsx | src/app/buy-with-crypto/BuyWithCryptoClient.tsx | src/app/buy-with-crypto/page.tsx | src/app/deals/[id]/page.tsx | src/app/fee-calculator/FeeCalculatorClient.tsx | src/app/notifications/page.tsx | src/app/open-dispute/OpenDisputeClient.tsx
/open-source,Company,2,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/privacy,Company,2,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/promote-listings,Listings,2,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/proxy-orders,ProdottiServizi,1,1,no,Media,src/components/SeoInternalLinks.tsx
/redeem,Company,3,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx | src/components/navbar/ProfileMenu.tsx
/refund,Company,3,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/requests,Listings,5,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx | src/components/market/TrendingRequests.tsx | src/components/navbar/ProfileMenu.tsx
/requests/new,Listings,6,1,no,Media,src/app/about/page.tsx | src/app/requests/page.tsx | src/app/secure-transaction/page.tsx | src/app/smart-search/page.tsx | src/components/Navbar.tsx | src/components/SeoInternalLinks.tsx
/roadmap,Company,3,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx | src/components/navbar/MoreMenu.tsx
/secure-transaction,ProdottiServizi,3,1,no,Media,src/app/escrow/page.tsx | src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
/sell,Listings,3,1,no,Media,src/components/Navbar.tsx | src/components/SeoInternalLinks.tsx | src/components/navbar/ProfileMenu.tsx
/smart-search,Listings,2,1,no,Media,src/components/SeoInternalLinks.tsx | src/components/market/MarketSearch.tsx
/terms,Company,2,1,no,Media,src/components/Footer.tsx | src/components/SeoInternalLinks.tsx
